the_geom,country,name
,IT,Alta Badia
,IT,Arabba
,IT,Bardonecchia
,IT,Bormio
,IT,Canazei
,IT,Cervinia
,IT,Champoluc
,IT,Claviere
,IT,Cortina
,IT,Courmayeur
,IT,Folgarida
,IT,Livigno
,IT,Passo Tonale
,IT,Pila
,IT,San Cassiano
,IT,San Martino di Castrozza
,IT,Sansicario
,IT,Sauze d'Oulx
,IT,Seiser Alm
,IT,Selva Gardena
,IT,Sestriere
,IT,Val Gardena
,SW,Adelboden
,SW,Andermatt
,SW,Crans Montana
,SW,Davos
,SW,Engelberg
,SW,Flims/Laax
,SW,Grimentz
,SW,Grindelwald
,SW,Gstadd
,SW,Klosters
,SW,Les Diablerets
,SW,Murren
,SW,Nendaz
,SW,Saas Fee
,SW,St Moritz
,SW,Verbier
,SW,Veysonnaz
,SW,Villars
,SW,Wengen
,SW,Zermatt
